timestamp,Partner_Name,price
11/04/23 0,Telco01,0.01
11/04/23 0,Telco02,0.011
11/04/23 0,Telco03,0.012
11/04/23 0,Telco04,0.018
11/04/23 0,Telco05,0.017
11/04/23 0,Telco06,0.013
11/04/23 0,Telco07,0.014
11/04/23 1,Telco01,0.01
11/04/23 1,Telco02,0.011
11/04/23 1,Telco03,0.012
11/04/23 1,Telco04,0.018
11/04/23 1,Telco05,0.017
11/04/23 1,Telco06,0.013
11/04/23 1,Telco07,0.014
11/04/23 2,Telco01,0.02
11/04/23 2,Telco02,0.021
11/04/23 2,Telco03,0.022
11/04/23 2,Telco04,0.028
11/04/23 2,Telco05,0.027
11/04/23 2,Telco06,0.023
11/04/23 2,Telco07,0.024
11/04/23 3,Telco01,0.02
11/04/23 3,Telco02,0.021
11/04/23 3,Telco03,0.022
11/04/23 3,Telco04,0.028
11/04/23 3,Telco05,0.027
11/04/23 3,Telco06,0.023
11/04/23 3,Telco07,0.024
11/04/23 4,Telco01,0.02
11/04/23 4,Telco02,0.021
11/04/23 4,Telco03,0.022
11/04/23 4,Telco04,0.028
11/04/23 4,Telco05,0.027
11/04/23 4,Telco06,0.023
11/04/23 4,Telco07,0.024
11/04/23 5,Telco01,0.03
11/04/23 5,Telco02,0.031
11/04/23 5,Telco03,0.032
11/04/23 5,Telco04,0.038
11/04/23 5,Telco05,0.037
11/04/23 5,Telco06,0.033
11/04/23 5,Telco07,0.034
11/04/23 6,Telco01,0.05
11/04/23 6,Telco02,0.051
11/04/23 6,Telco03,0.052
11/04/23 6,Telco04,0.058
11/04/23 6,Telco05,0.057
11/04/23 6,Telco06,0.053
11/04/23 6,Telco07,0.054
11/04/23 7,Telco01,0.05
11/04/23 7,Telco02,0.051
11/04/23 7,Telco03,0.052
11/04/23 7,Telco04,0.058
11/04/23 7,Telco05,0.057
11/04/23 7,Telco06,0.053
11/04/23 7,Telco07,0.054
11/04/23 8,Telco01,0.08
11/04/23 8,Telco02,0.081
11/04/23 8,Telco03,0.082
11/04/23 8,Telco04,0.088
11/04/23 8,Telco05,0.087
11/04/23 8,Telco06,0.083
11/04/23 8,Telco07,0.084
11/04/23 9,Telco01,0.09
11/04/23 9,Telco02,0.091
11/04/23 9,Telco03,0.092
11/04/23 9,Telco04,0.098
11/04/23 9,Telco05,0.097
11/04/23 9,Telco06,0.093
11/04/23 9,Telco07,0.094
11/04/23 10,Telco01,0.11
11/04/23 10,Telco02,0.111
11/04/23 10,Telco03,0.112
11/04/23 10,Telco04,0.118
11/04/23 10,Telco05,0.117
11/04/23 10,Telco06,0.113
11/04/23 10,Telco07,0.114
11/04/23 11,Telco01,0.11
11/04/23 11,Telco02,0.111
11/04/23 11,Telco03,0.112
11/04/23 11,Telco04,0.118
11/04/23 11,Telco05,0.117
11/04/23 11,Telco06,0.113
11/04/23 11,Telco07,0.114
11/04/23 12,Telco01,0.11
11/04/23 12,Telco02,0.111
11/04/23 12,Telco03,0.112
11/04/23 12,Telco04,0.118
11/04/23 12,Telco05,0.117
11/04/23 12,Telco06,0.113
11/04/23 12,Telco07,0.114
11/04/23 13,Telco01,0.12
11/04/23 13,Telco02,0.121
11/04/23 13,Telco03,0.122
11/04/23 13,Telco04,0.128
11/04/23 13,Telco05,0.127
11/04/23 13,Telco06,0.123
